epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,676.263,0.21256,0.49974,0.98615,0.7508,0.79848,0.84391,0.84391,0.14262,0.94239,0.42447,0.000555242,0.000555242,0.000555242
2,1407.18,0.06251,0.14212,0.83558,0.86048,0.86467,0.91489,0.91481,0.11863,0.55538,0.41648,0.00100093,0.00100093,0.00100093
3,2098.36,0.0616,0.13423,0.83537,0.88032,0.88957,0.90345,0.90293,0.14734,0.58416,0.44306,0.00133659,0.00133659,0.00133659
